fname,labels
00097e21.wav,Bathtub_(filling_or_washing)
000b6cfb.wav,Motorcycle
00116cd2.wav,"Marimba_and_xylophone,Glockenspiel"
00127d14.wav,"Water_tap_and_faucet,Sink_(filling_or_washing)"
0019adae.wav,Raindrop
001b819d.wav,Bass_guitar
001c054e.wav,"Raindrop,Trickle_and_dribble"
001ceaf1.wav,"Strum,Acoustic_guitar"
001f3501.wav,"Bass_drum,Hi-hat"
0020becb.wav,Harmonica
002190ca.wav,Slam
0021e588.wav,Scissors
0022e717.wav,"Cheering,Crowd"
0024f39c.wav,Crackle
002a3dd5.wav,Purr
002d3508.wav,Harmonica
002d93e0.wav,Crowd
0030c602.wav,Yell
0035d771.wav,Female_singing
0038b7f7.wav,Printer
003e23a2.wav,Printer
003f8fd9.wav,Finger_snapping
00406f52.wav,Microwave_oven
0041f54a.wav,Hi-hat
004a8eec.wav,Run
004ac24a.wav,Bass_drum
004b1f5d.wav,Squeak
004f0d27.wav,Acoustic_guitar
004f33f2.wav,Male_speech_and_man_speaking
00577c11.wav,Tap
0059dcc1.wav,Finger_snapping
005a6d3e.wav,"Microwave_oven,Buzz"
0060d886.wav,Raindrop
00643eb4.wav,Run
0064e4b6.wav,"Water_tap_and_faucet,Frying_(food)"
006547fa.wav,Fart
006817ad.wav,Race_car_and_auto_racing
006993cc.wav,Frying_(food)
006d7b1d.wav,"Motorcycle,Microwave_oven"
00703e40.wav,Hi-hat
00728bae.wav,Walk_and_footsteps
00752915.wav,Buzz
00764397.wav,Accelerating_and_revving_and_vroom
007bcf5c.wav,Stream
007c570e.wav,Male_singing
0080c2b3.wav,Chirp_and_tweet
0080c38c.wav,Clapping
0082d1ef.wav,Mechanical_fan
00832850.wav,Crowd
00894595.wav,Chirp_and_tweet
008f31f6.wav,"Frying_(food),Dishes_and_pots_and_pans,Cutlery_and_silverware"
0091b5e2.wav,Frying_(food)
00988b68.wav,"Mechanical_fan,Buzz"
0098fb8c.wav,Bass_guitar
009e88d5.wav,Female_speech_and_woman_speaking
00a83e1b.wav,"Cricket,Burping_and_eructation"
00acc409.wav,Bathtub_(filling_or_washing)
00b5098f.wav,Tap
00b698e1.wav,Clapping
00b6ed8d.wav,"Cupboard_open_or_close,Knock"
00b9e265.wav,Purr
00bea733.wav,"Bicycle_bell,Chink_and_clink"
00c5a2da.wav,Stream
00cc36e9.wav,Toilet_flush
00ccd454.wav,Mechanical_fan
00d23728.wav,Clapping
00d281c8.wav,Squeak
00d32fb2.wav,Church_bell
00d61180.wav,Computer_keyboard
00d72135.wav,"Dishes_and_pots_and_pans,Cutlery_and_silverware"
00dd74f4.wav,Whispering
00de1887.wav,"Zipper_(clothing),Writing"
00de18c2.wav,Keys_jangling
00e10f1f.wav,Meow
00e1ed10.wav,Bark
00e645ea.wav,Screaming
00e70ab4.wav,Cupboard_open_or_close
00ea7b09.wav,Raindrop
00f0a206.wav,Female_singing
00f372ab.wav,Meow
00fb384d.wav,Bus
00fcaf4c.wav,Church_bell
00fe9848.wav,Marimba_and_xylophone
01024055.wav,Sneeze
01044063.wav,"Shatter,Computer_keyboard,Keys_jangling"
0104cf7d.wav,Finger_snapping
0106eb6e.wav,Fill_(with_liquid)
0107399e.wav,Waves_and_surf
0107d033.wav,Yell
010a1537.wav,Traffic_noise_and_roadway_noise
010a535c.wav,Drawer_open_or_close
010af543.wav,"Bicycle_bell,Dishes_and_pots_and_pans,Cutlery_and_silverware,Chink_and_clink"
011254b9.wav,"Gasp,Sigh,Finger_snapping"
01131cb2.wav,"Water_tap_and_faucet,Sink_(filling_or_washing)"
0114bd77.wav,Acoustic_guitar
0115e06c.wav,Drawer_open_or_close
0116583f.wav,Applause
011729fb.wav,"Strum,Electric_guitar"
011789b4.wav,Chirp_and_tweet
011fac4e.wav,Chirp_and_tweet
012293ea.wav,Trickle_and_dribble
01261782.wav,Chink_and_clink
012ec31b.wav,Whispering
012ef7ae.wav,Knock
013978ee.wav,Bass_guitar
013a1712.wav,Motorcycle
013d4747.wav,Drawer_open_or_close
0141bddf.wav,Cricket
01421f72.wav,Traffic_noise_and_roadway_noise
01472913.wav,Gasp
014f7e91.wav,Cupboard_open_or_close
01500958.wav,"Zipper_(clothing),Purr,Fart"
0151c25a.wav,Shatter
0151ec95.wav,"Squeak,Cupboard_open_or_close,Knock"
01530225.wav,Fart
015965c3.wav,"Fill_(with_liquid),Computer_keyboard,Water_tap_and_faucet"
